N_OBS,dim,seed,eps,alg,dt,sampling_steps,sw,sw_norm
2,10,0,0.0,Langevin,1.532282829284668,50,0.9926983714103699,0.821647971868515
2,10,0,0.0,Langevin,4.647995710372925,150,0.9776503443717957,0.8065999448299408
2,10,0,0.0,Langevin,12.213640213012695,400,0.999401330947876,0.8283509314060211
2,10,0,0.0,Langevin,30.64502239227295,1000,0.9796605110168457,0.8086101114749908
2,10,0,0.0,GAUSS,0.8486666679382324,50,0.758779764175415,0.5877293646335602
2,10,0,0.0,GAUSS,1.6151258945465088,150,0.6127702593803406,0.4417198598384857
2,10,0,0.0,GAUSS,3.4329018592834473,400,0.5555360317230225,0.3844856321811676
2,10,0,0.0,GAUSS,7.778914213180542,1000,0.589053213596344,0.41800281405448914
2,10,0,0.0,JAC,0.8700995445251465,50,0.5479466319084167,0.3768962323665619
2,10,0,0.0,JAC,2.572493076324463,150,0.6066162586212158,0.43556585907936096
2,10,0,0.0,JAC,6.880126714706421,400,0.5968196392059326,0.42576923966407776
2,10,0,0.0,JAC,17.191620349884033,1000,0.5361576676368713,0.3651072680950165
2,10,0,0.0,Langevin,1.532282829284668,50,1.003937005996704,0.8898124739527702
2,10,0,0.0,Langevin,4.647995710372925,150,0.9493598937988281,0.8352353617548942
2,10,0,0.0,Langevin,12.213640213012695,400,0.9839719533920288,0.8698474213480949
2,10,0,0.0,Langevin,30.64502239227295,1000,1.0131348371505737,0.8990103051066398
2,10,0,0.0,GAUSS,0.8486666679382324,50,0.7589275240898132,0.6448029920458793
2,10,0,0.0,GAUSS,1.6151258945465088,150,0.6295379400253296,0.5154134079813957
2,10,0,0.0,GAUSS,3.4329018592834473,400,0.5680568218231201,0.45393228977918626
2,10,0,0.0,GAUSS,7.778914213180542,1000,0.5644311308860779,0.450306598842144
2,10,0,0.0,JAC,0.8700995445251465,50,0.5439429879188538,0.4298184558749199
2,10,0,0.0,JAC,2.572493076324463,150,0.5866060256958008,0.4724814936518669
2,10,0,0.0,JAC,6.880126714706421,400,0.5910117626190186,0.4768872305750847
2,10,0,0.0,JAC,17.191620349884033,1000,0.5508404970169067,0.4367159649729729
2,10,0,0.0,Langevin,1.532282829284668,50,0.9514816403388977,0.7508366271853447
2,10,0,0.0,Langevin,4.647995710372925,150,0.9540584087371826,0.7534133955836296
2,10,0,0.0,Langevin,12.213640213012695,400,0.9637113213539124,0.7630663082003594
2,10,0,0.0,Langevin,30.64502239227295,1000,1.0071780681610107,0.8065330550074578
2,10,0,0.0,GAUSS,0.8486666679382324,50,0.742756724357605,0.542111711204052
2,10,0,0.0,GAUSS,1.6151258945465088,150,0.6594337821006775,0.4587887689471245
2,10,0,0.0,GAUSS,3.4329018592834473,400,0.6066409945487976,0.4059959813952446
2,10,0,0.0,GAUSS,7.778914213180542,1000,0.5777009725570679,0.3770559594035149
2,10,0,0.0,JAC,0.8700995445251465,50,0.5401711463928223,0.3395261332392693
2,10,0,0.0,JAC,2.572493076324463,150,0.5756015181541443,0.3749565050005913
2,10,0,0.0,JAC,6.880126714706421,400,0.6084252595901489,0.40778024643659594
2,10,0,0.0,JAC,17.191620349884033,1000,0.5481398701667786,0.3474948570132256
2,10,0,0.0,Langevin,1.532282829284668,50,1.0025731325149536,0.8793441623449325
2,10,0,0.0,Langevin,4.647995710372925,150,0.9849944114685059,0.8617654412984848
2,10,0,0.0,Langevin,12.213640213012695,400,0.9865561127662659,0.8633271425962448
2,10,0,0.0,Langevin,30.64502239227295,1000,1.0053232908248901,0.882094320654869
2,10,0,0.0,GAUSS,0.8486666679382324,50,0.7248048782348633,0.6015759080648422
2,10,0,0.0,GAUSS,1.6151258945465088,150,0.6452401280403137,0.5220111578702926
2,10,0,0.0,GAUSS,3.4329018592834473,400,0.5709434747695923,0.44771450459957124
2,10,0,0.0,GAUSS,7.778914213180542,1000,0.5918538570404053,0.4686248868703842
2,10,0,0.0,JAC,0.8700995445251465,50,0.5440610647201538,0.42083209455013276
2,10,0,0.0,JAC,2.572493076324463,150,0.5975630879402161,0.474334117770195
2,10,0,0.0,JAC,6.880126714706421,400,0.6055232286453247,0.48229425847530366
2,10,0,0.0,JAC,17.191620349884033,1000,0.5500979423522949,0.4268689721822739
4,10,0,0.0,Langevin,1.585418939590454,50,0.9352833032608032,0.7242449998855591
4,10,0,0.0,Langevin,4.645728588104248,150,0.9570079445838928,0.7459696412086487
4,10,0,0.0,Langevin,12.326416015625,400,1.0076041221618652,0.7965658187866211
4,10,0,0.0,Langevin,31.07054305076599,1000,1.0221431255340576,0.8111048221588135
4,10,0,0.0,GAUSS,0.89693284034729,50,0.8641374707221985,0.6530991673469544
4,10,0,0.0,GAUSS,1.6101481914520264,150,0.8222043514251709,0.6111660480499268
4,10,0,0.0,GAUSS,3.459416627883911,400,0.8833911418914795,0.6723528385162354
4,10,0,0.0,GAUSS,7.906293630599976,1000,0.8623540997505188,0.6513157963752747
4,10,0,0.0,JAC,0.8532199859619141,50,0.703619122505188,0.49258081912994384
4,10,0,0.0,JAC,2.588653564453125,150,0.770407497882843,0.5593691945075989
4,10,0,0.0,JAC,6.947054386138916,400,0.862450361251831,0.651412057876587
4,10,0,0.0,JAC,17.195878982543945,1000,0.8508579730987549,0.6398196697235108
4,10,0,0.0,Langevin,1.585418939590454,50,0.9873269200325012,0.7507496535778045
4,10,0,0.0,Langevin,4.645728588104248,150,0.9763584136962891,0.7397811472415924
4,10,0,0.0,Langevin,12.326416015625,400,1.0568299293518066,0.82025266289711
4,10,0,0.0,Langevin,31.07054305076599,1000,1.013054609298706,0.7764773428440094
4,10,0,0.0,GAUSS,0.89693284034729,50,0.8157086372375488,0.5791313707828522
4,10,0,0.0,GAUSS,1.6101481914520264,150,0.8518602848052979,0.6152830183506012
4,10,0,0.0,GAUSS,3.459416627883911,400,0.8860636353492737,0.649486368894577
4,10,0,0.0,GAUSS,7.906293630599976,1000,0.8371841311454773,0.6006068646907806
4,10,0,0.0,JAC,0.8532199859619141,50,0.7371845245361328,0.5006072580814361
4,10,0,0.0,JAC,2.588653564453125,150,0.7416403293609619,0.5050630629062652
4,10,0,0.0,JAC,6.947054386138916,400,0.8532189130783081,0.6166416466236114
4,10,0,0.0,JAC,17.195878982543945,1000,0.8328589797019958,0.5962817132472992
4,10,0,0.0,Langevin,1.585418939590454,50,0.9448850750923157,0.8079794615507125
4,10,0,0.0,Langevin,4.645728588104248,150,1.0044074058532715,0.8675017923116684
4,10,0,0.0,Langevin,12.326416015625,400,0.9733443260192871,0.836438712477684
4,10,0,0.0,Langevin,31.07054305076599,1000,1.034956932067871,0.898051318526268
4,10,0,0.0,GAUSS,0.89693284034729,50,0.8320425152778625,0.6951369017362594
4,10,0,0.0,GAUSS,1.6101481914520264,150,0.8350306153297424,0.6981250017881393
4,10,0,0.0,GAUSS,3.459416627883911,400,0.9162507057189941,0.779345092177391
4,10,0,0.0,GAUSS,7.906293630599976,1000,0.8930031061172485,0.7560974925756454
